Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
1,0.791,7.59854,5.9029,4016
50000,0.8898,19.2341,9.51535,4716.4
500000,0.873,18.9972,17.5755,3556.08
1000,0.482,7.09051,6.95471,1134.87
500,0.482,7.09051,6.95471,1134.87
10000000,0.742,13.3702,12.1012,3450.5
40,0.8362,15.4937,14.2536,2996.23
1000000,0.913,26.2529,12.5751,6072.13
500000,0.913,26.2529,12.5751,6072.13
10000000,0.8288,24.9488,9.11981,4755.92
100000,0.5716,12.9623,9.06013,1055.4
50000,0.5716,12.9623,9.06013,1055.4
10000000,0.666,4.67101,3.44264,2690.15
500,0.8288,24.9488,9.11981,4755.92
10000000,0.475,4.24603,3.78968,963.071
10000000,0.7294,18.4135,3.91151,2681.95
1,0.6876,15.9397,5.38602,1090.53
1,0.8898,19.2341,9.51535,4716.4
40000,0.9154,21.8281,20.5859,6179.32
1000,0.8816,28.6652,11.5377,5712.98
5000,0.7992,10.9331,7.2387,2264.38
50000,0.9154,21.8281,20.5859,6179.32
1,0.7244,10.3802,8.73539,1478.37
1,0.868,21.0952,19.2468,4251.56
100,0.8506,36.7876,36.4331,3019.95
1,0.7082,10.7884,9.81151,1033.55
1,0.7108,10.8507,4.21913,3845.71
10000000,0.472,15.165,5.42937,1267.64
10000000,0.7688,21.5414,12.8264,2828.28
10000000,0.5456,15.2698,4.36349,1234.78
10000000,0.482,7.09051,6.95471,1134.87
100000,0.7246,13.3117,8.62623,3760.71
40000,0.7912,16.1957,14.7503,4788.47
50000,0.7912,16.1957,14.7503,4788.47
1000,0.6248,14.7203,13.8111,931.773
10000000,0.895,28.4313,15.9175,5364.2
1,0.913,26.2529,12.5751,6072.13
10000000,0.7778,18.3193,17.5552,1454.47
10000000,0.4938,9.95261,2.53081,391.402
10000000,0.7,6.42929,6.08998,4281.71
10000000,0.3548,3.35306,2.5236,0.246038
40,0.8074,10.0315,6.17304,5779.04
1,0.3556,3.34466,3.01377,0.146684
1,0.8496,12.1173,10.7008,3703.29
1,0.8308,21.1368,18.3383,1489.85
40000,0.6778,7.0595,6.90616,2110.66
1,0.3662,3.40448,3.09733,0.91148
50,0.6572,17.3911,9.80191,1657.09
100,0.6572,17.3911,9.80191,1657.09
100000,0.4998,9.32937,5.73491,353.212
40,0.6572,17.3911,9.80191,1657.09
10000000,0.6876,15.9397,5.38602,1090.53
1,0.498,9.6196,8.46967,487.441
1,0.5964,4.8768,4.71272,615.106
40000,0.9102,32.0036,17.5518,5321.22
50000,0.9102,32.0036,17.5518,5321.22
1000,0.7614,12.4694,12.0996,3572.33
100,0.8736,22.824,13.4901,4829.51
50000,0.868,21.0952,19.2468,4251.56
40000,0.868,21.0952,19.2468,4251.56
40,0.6006,8.86609,7.97255,1844.92
10000000,0.844,23.7023,22.8547,4485.82
100000,0.764,10.5688,5.12331,3286.2
100,0.7898,11.39,7.08849,4228.07
50,0.795,12.3213,7.27063,4325.4
100,0.795,12.3213,7.27063,4325.4
50,0.7898,11.39,7.08849,4228.07
500000,0.8506,36.7876,36.4331,3019.95
20,0.7212,16.8024,4.60613,3604.43
1,0.778,13.3149,6.32995,5688.77
10,0.7212,16.8024,4.60613,3604.43
40,0.7212,16.8024,4.60613,3604.43
1,0.7418,17.6536,14.4198,2620.78
1,0.8506,14.2292,13.1937,5299.5
1000,0.9182,29.975,15.0225,6628.79
10,0.8506,14.2292,13.1937,5299.5
1,0.8764,24.5508,12.1743,4535.57
1,0.69,13.0436,6.77607,2533.66
1,0.811,18.3386,11.3142,2944.33
40000,0.5854,7.47499,2.63162,1369.14
50000,0.5854,7.47499,2.63162,1369.14
40,0.6734,12.3701,6.46344,858.806
10000000,0.7172,10.5583,7.30371,3948.21
500,0.808,11.1369,10.3106,2614.92
500,0.7872,14.7024,11.7935,2495
40000,0.6876,15.2363,7.95854,1219.76
10000000,0.8984,18.5744,17.5567,4541.16
500000,0.647,18.9433,3.74567,1071.01
100000,0.5816,11.1295,5.24741,1572.51
1,0.5854,12.7414,3.10347,429.158
10000,0.6698,12.7484,4.90662,2559.11
1,0.3284,7.01875,6.807,222.047
40,0.7562,17.9252,17.514,2738.65
10000000,0.8378,15.3841,14.1862,3295.43
10000000,0.7652,11.1665,5.2519,5143.68
10000000,0.8362,15.4937,14.2536,2996.23
50,0.7562,17.9252,17.514,2738.65
10,0.4958,5.94146,2.41019,929.438
10000000,0.6462,13.1227,12.8815,871.007
20,0.4958,5.94146,2.41019,929.438
40000,0.7926,18.8853,7.91531,3768.23
1,0.7964,8.70899,8.38156,3357.33
10000000,0.8226,16.8839,10.6099,4557.7
10000000,0.6766,7.04716,6.45776,1080.68
10000000,0.8942,19.8654,14.5686,5195.22
10000,0.753,18.8079,13.7187,2463.35
100,0.8528,13.3218,10.043,6230.37
100000,0.8074,10.0315,6.17304,5779.04
1,0.6844,5.8871,5.25211,3598.51
100,0.7454,17.6553,16.4347,1386.05
10000000,0.6946,17.2901,12.6482,1463.62
100,0.472,15.165,5.42937,1267.64
40000,0.7586,13.8998,13.6804,2147.93
50000,0.8444,11.455,9.77333,4968.9
40000,0.8444,11.455,9.77333,4968.9
40000,0.8398,12.3692,10.8675,5199.04
50000,0.8398,12.3692,10.8675,5199.04
40,0.7912,16.1957,14.7503,4788.47
50,0.7912,16.1957,14.7503,4788.47
100,0.6062,5.4946,5.30289,1868.31
100,0.5666,4.621,3.96851,1968.8
500000,0.7298,14.4705,3.66339,2193.69
40000,0.8068,21.8367,11.1395,4368.3
1,0.7,8.83543,4.89469,4918.23
50000,0.8068,21.8367,11.1395,4368.3
10000,0.318,5.66636,4.82954,537.249
500,0.6924,10.225,9.4107,3144.66
1000,0.6086,12.3304,11.4865,1329.51
10000000,0.7876,17.0823,7.88152,2892.17
1,0.7806,19.4865,7.36184,3750.66
20,0.6934,12.2945,11.9581,2156.89
50000,0.7756,19.7171,10.8356,2683.42
1,0.655,21.0733,4.609,1452.12
10000000,0.8506,14.2292,13.1937,5299.5
40000,0.6666,17.3855,6.83963,2163.48
40000,0.8874,24.7893,14.092,5147.71
1000,0.6168,8.60977,8.56919,794.25
40,0.8286,18.8677,11.8721,4288.89
50,0.8286,18.8677,11.8721,4288.89
10000000,0.6752,11.6463,2.646,1685.21
1,0.8076,10.7406,8.40432,5356.61
10000000,0.7,10.4034,2.52524,1874.82
1,0.4548,8.83128,4.93156,696.779
50000,0.7338,7.61954,3.92787,3069.22
40000,0.7338,7.61954,3.92787,3069.22
100000,0.8076,12.3613,6.84234,4653.12
10000000,0.318,5.66636,4.82954,537.249
10000000,0.7086,8.38886,8.25863,2092.05
20,0.8984,18.5744,17.5567,4541.16
20,0.655,16.0973,3.03368,2023.58
40,0.8984,18.5744,17.5567,4541.16
40,0.655,16.0973,3.03368,2023.58
500,0.8428,22.4236,6.86083,4453.33
50,0.7374,10.6399,5.17607,2542.96
40,0.7374,10.6399,5.17607,2542.96
10000000,0.5448,5.2679,4.81357,365.036
500,0.526,3.45164,2.93856,53.0741
10000000,0.7844,16.3794,5.99724,4587.82
100,0.7178,8.36527,6.6245,1282.4
100000,0.5518,8.64993,8.01633,1286.72
20,0.871,26.3351,10.2764,5129.28
500,0.8014,15.0914,8.39804,5034.3
40,0.745,15.7146,10.8658,3234.44
50,0.745,15.7146,10.8658,3234.44
500,0.7876,17.0823,7.88152,2892.17
500000,0.791,7.59854,5.9029,4016
1000,0.7372,6.25402,4.56727,4761.4
500000,0.4958,5.94146,2.41019,929.438
10000000,0.8428,22.4236,6.86083,4453.33
500000,0.7146,21.4922,18.9061,1717.87
100000,0.676,5.92168,4.6498,1352.9
1,0.779,7.63453,6.61136,5185.13
50000,0.8496,12.1173,10.7008,3703.29
10000000,0.5666,4.621,3.96851,1968.8
10000000,0.3894,8.20384,7.94678,695.037
40000,0.8496,12.1173,10.7008,3703.29
500,0.64,6.75186,5.16957,3154.09
1,0.7706,15.0577,6.22214,3178.7
100,0.7372,12.8548,8.91717,1489.6
50,0.7372,12.8548,8.91717,1489.6
