VF,LCD (Å),PLD (Å),SA (m2/g ),Pressure (Pa),Adsorption (cm3 STP/gr)
0.6144,7.6574,4.85724,822.374,10000000,70.33050418
0.6408,10.6197,8.65931,2151.16,1,0.000425064
0.6408,10.6197,8.65931,2151.16,5000,1.969185458
0.6408,10.6197,8.65931,2151.16,50000,16.68958136
0.6408,10.6197,8.65931,2151.16,100000,29.39424569
0.6408,10.6197,8.65931,2151.16,500000,88.3754866
0.6408,10.6197,8.65931,2151.16,1000000,129.8858899
0.6408,10.6197,8.65931,2151.16,5000000,232.2740319
0.6408,10.6197,8.65931,2151.16,10000000,263.5959579
0.8346,19.4749,13.2777,3753.89,1,0.000189035
0.8346,19.4749,13.2777,3753.89,5000,0.917994738
0.8346,19.4749,13.2777,3753.89,50000,8.830982491
0.8346,19.4749,13.2777,3753.89,100000,17.1101138
0.8346,19.4749,13.2777,3753.89,500000,69.17163863
0.8346,19.4749,13.2777,3753.89,1000000,118.0051285
0.8346,19.4749,13.2777,3753.89,5000000,352.492714
0.8346,19.4749,13.2777,3753.89,10000000,501.457034
0.6166,9.21635,3.18734,942.698,1,6.60E-05
0.6166,9.21635,3.18734,942.698,5000,0.284823866
0.6166,9.21635,3.18734,942.698,50000,2.827845568
0.6166,9.21635,3.18734,942.698,100000,5.61196074
0.6166,9.21635,3.18734,942.698,500000,24.37624
0.6166,9.21635,3.18734,942.698,1000000,42.24301316
0.6166,9.21635,3.18734,942.698,5000000,91.85721693
0.6166,9.21635,3.18734,942.698,10000000,109.3673763
0.6062,5.4946,5.30289,1868.31,1,0.001071591
0.6062,5.4946,5.30289,1868.31,5000,4.92434199
0.6062,5.4946,5.30289,1868.31,50000,39.12569278
0.6062,5.4946,5.30289,1868.31,100000,63.87316419
0.6062,5.4946,5.30289,1868.31,500000,115.2003806
0.6062,5.4946,5.30289,1868.31,1000000,127.631076
0.6062,5.4946,5.30289,1868.31,5000000,146.107211
0.6062,5.4946,5.30289,1868.31,10000000,153.5721024
0.7794,13.5499,9.13066,3143.05,1,0.000108107
0.7794,13.5499,9.13066,3143.05,5000,0.695295552
0.7794,13.5499,9.13066,3143.05,50000,6.802495127
0.7794,13.5499,9.13066,3143.05,100000,13.39449901
0.7794,13.5499,9.13066,3143.05,500000,56.94554096
0.7794,13.5499,9.13066,3143.05,1000000,102.3056304
0.7794,13.5499,9.13066,3143.05,5000000,285.5220788
0.7794,13.5499,9.13066,3143.05,10000000,359.8680738
0.863,20.1457,8.54605,5353.8,1,0.000211164
0.863,20.1457,8.54605,5353.8,5000,0.622909482
0.863,20.1457,8.54605,5353.8,50000,6.263634158
0.863,20.1457,8.54605,5353.8,100000,12.53297562
0.863,20.1457,8.54605,5353.8,500000,61.1252278
0.863,20.1457,8.54605,5353.8,1000000,117.0586585
0.863,20.1457,8.54605,5353.8,5000000,466.1378187
0.863,20.1457,8.54605,5353.8,10000000,675.1562567
0.8648,20.246,8.58384,5368.02,1,0.000158373
0.8648,20.246,8.58384,5368.02,5000,0.635893127
0.8648,20.246,8.58384,5368.02,50000,6.279842203
0.8648,20.246,8.58384,5368.02,100000,12.4759097
0.8648,20.246,8.58384,5368.02,500000,61.15620405
