Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
10000000,0.7656,6.84524,5.44973,2556.47
500000,0.869,27.2094,25.5491,4279.41
10000000,0.9304,37.5257,19.5411,6088.87
500000,0.9304,37.5257,19.5411,6088.87
1000000,0.9304,37.5257,19.5411,6088.87
100000,0.9304,37.5257,19.5411,6088.87
50000,0.9304,37.5257,19.5411,6088.87
40000,0.9304,37.5257,19.5411,6088.87
500000,0.472,15.165,5.42937,1267.64
100000,0.472,15.165,5.42937,1267.64
1000000,0.472,15.165,5.42937,1267.64
10000000,0.7992,10.9331,7.2387,2264.38
10000000,0.6168,8.60977,8.56919,794.25
10000000,0.7098,17.4403,16.9544,1675.56
10000000,0.82,30.7006,30.1441,3192.07
50000,0.7614,12.4694,12.0996,3572.33
40000,0.7614,12.4694,12.0996,3572.33
100000,0.7614,12.4694,12.0996,3572.33
100000,0.82,30.7006,30.1441,3192.07
500000,0.82,30.7006,30.1441,3192.07
50000,0.82,30.7006,30.1441,3192.07
40000,0.82,30.7006,30.1441,3192.07
1000000,0.82,30.7006,30.1441,3192.07
10000000,0.8324,37.3405,13.0059,4240.94
50000,0.647,18.9433,3.74567,1071.01
5000000,0.8324,37.3405,13.0059,4240.94
40000,0.647,18.9433,3.74567,1071.01
10000000,0.7872,14.7024,11.7935,2495
40000,0.8324,37.3405,13.0059,4240.94
50000,0.8324,37.3405,13.0059,4240.94
10000,0.8324,37.3405,13.0059,4240.94
5000,0.8324,37.3405,13.0059,4240.94
100000,0.8324,37.3405,13.0059,4240.94
10000000,0.709,9.32038,5.88413,1423.72
50000,0.8984,18.5744,17.5567,4541.16
100000,0.8984,18.5744,17.5567,4541.16
40000,0.8984,18.5744,17.5567,4541.16
50000,0.6572,17.3911,9.80191,1657.09
10000000,0.8008,13.0256,5.98917,5172.75
100000,0.7074,6.5178,6.18035,4780.12
500000,0.712,11.7128,3.2993,2024.46
500000,0.7112,11.7415,3.30578,2022.86
500000,0.7074,6.5178,6.18035,4780.12
10000000,0.8104,10.7871,9.22291,4721.18
100000,0.8024,23.8709,10.8478,1789.58
10000000,0.5854,12.7414,3.10347,429.158
500000,0.7082,10.7884,9.81151,1033.55
10000000,0.3894,8.20384,7.94678,695.037
10000000,0.6628,7.04016,6.80377,2722.98
10000000,0.7774,16.1552,7.17077,4325.17
10000000,0.6572,7.22845,6.88703,2373.83
10000000,0.7782,16.1105,7.03802,4399.29
1000000,0.6628,7.04016,6.80377,2722.98
5000,0.8358,25.6855,17.1242,3194.1
500000,0.7918,8.54513,8.23246,3203.31
10000,0.8358,25.6855,17.1242,3194.1
500000,0.7614,15.981,7.52003,2738.21
500000,0.7212,16.8024,4.60613,3604.43
10000000,0.7102,15.9933,15.9026,2172.77
100000,0.7108,10.8507,4.21913,3845.71
500000,0.7844,16.3794,5.99724,4587.82
10000000,0.8226,16.8839,10.6099,4557.7
10000000,0.6966,12.6903,3.67391,1688.54
10000000,0.8582,15.2629,13.96,4846.42
10000000,0.7762,15.7132,6.14739,3857.5
10000000,0.8008,11.5302,8.55287,3633.67
500000,0.5456,9.90635,2.42974,1121.94
1000000,0.6498,6.88443,4.8384,3352.39
10000000,0.8856,17.2951,15.3322,5193.45
10000000,0.7656,16.2479,12.9684,3627.92
10000000,0.7806,19.4865,7.36184,3750.66
100000,0.8426,24.2826,10.2733,4760.85
10000000,0.8124,15.1012,7.95608,3787.72
10000,0.6956,19.7987,19.3368,1714.37
5000,0.6956,19.7987,19.3368,1714.37
40000,0.7098,17.4403,16.9544,1675.56
10000000,0.7842,15.9383,10.4935,3712.18
10000000,0.6202,10.5253,2.42261,1637.68
500000,0.6328,9.73301,9.22346,2352.94
10000000,0.5716,12.9623,9.06013,1055.4
500000,0.6396,10.1434,9.60102,2387.1
10000000,0.7792,23.8744,6.75259,3316.52
10000000,0.677,12.8528,10.8845,2574.56
10000000,0.7424,17.0695,6.66429,2955.01
10000000,0.6598,7.47331,5.41094,835.312
10000000,0.4938,9.95261,2.53081,391.402
10000000,0.7082,14.3729,4.52414,2756.36
10000000,0.6452,10.1511,7.28168,2213.91
100000,0.666,4.67101,3.44264,2690.15
40000,0.9118,19.8186,17.0636,6349.95
1000000,0.5754,6.95996,6.82273,1458.03
50000,0.9118,19.8186,17.0636,6349.95
500000,0.666,4.67101,3.44264,2690.15
100000,0.482,7.09051,6.95471,1134.87
50000,0.482,7.09051,6.95471,1134.87
10000000,0.7418,17.6536,14.4198,2620.78
500000,0.6586,15.5955,7.18908,1549.06
50000,0.6792,4.54107,3.68666,5060.73
500000,0.8362,15.4937,14.2536,2996.23
10000000,0.7606,5.53493,4.56275,3560.59
10000000,0.6154,20.181,6.8654,1339.15
10000000,0.764,15.5483,7.92817,3581.71
500000,0.8378,15.3841,14.1862,3295.43
10000000,0.7774,20.4608,11.4837,2900.02
10000000,0.8122,13.9045,9.65699,4982.37
10000000,0.7644,13.98,12.8757,3848.36
1000000,0.8074,10.0315,6.17304,5779.04
10000000,0.7082,6.17717,5.82599,4307.06
10000000,0.7746,12.0734,5.35338,5223.93
10000000,0.779,7.63453,6.61136,5185.13
10000000,0.605,15.9185,2.85919,1328.76
10000000,0.5702,7.11187,6.8054,1002.44
