CIFNAME,smiles_nodes,smiles_linkers,topology
AMEJOS_charged,[Cu];[Fe],[C]#N;[O]CCN(CCO)C,ERROR
AMIKOX_clean,Cl[Cd]Cl,n1ccc(cc1)C1C(c2ccncc2)C(C1c1ccncc1)c1ccncc1,pts
AMILOY_clean,[Zn];[Zn][Zn],C1N2CN3CN1CN(C2)C3;[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],UNKNOWN
AMILUE_clean,[Zn];[Zn][Zn],C1N2CN3CN1CN(C2)C3;[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],UNKNOWN
AMIMAL_clean,[Zn];[Zn][Zn],C1N2CN3CN1CN(C2)C3;[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],UNKNOWN
AMIMEP_clean,[Zn];[Zn][Zn],C1N2CN3CN1CN(C2)C3;[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],UNKNOWN
AMIWOJ_clean,[Gd],[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],UNKNOWN
AMIXAW_clean,[Dy],[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],UNKNOWN
AMIXEA_clean,[Ho],[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],UNKNOWN
AMOYOR_clean,[Zn],[O-]C(=O)Cc1ccc(cc1)CC(=O)[O-];n1ccc(cc1)C=Cc1ccc(cc1)C=Cc1ccncc1,dia
AMUFAR_clean,[Co],[O-]C(=O)C1CC(C(C1C(=O)[O-])C(=O)[O-])C(=O)[O-];n1ccc(cc1)c1ccc(cc1)c1ccncc1,UNKNOWN
AMUFEV_clean,[Co],[O-]C(=O)C1CC(C(C1C(=O)[O-])C(=O)[O-])C(=O)[O-];n1ccc(cc1)C=Cc1ccncc1,UNKNOWN
AMUFIZ_clean,[Co],[O-]C(=O)C1CC(C(C1C(=O)[O-])C(=O)[O-])C(=O)[O-];n1ccc(cc1)[N][N]c1ccncc1,UNKNOWN
AMUFOF_clean,[Co],[O-]C(=O)C1CC(C(C1C(=O)[O-])C(=O)[O-])C(=O)[O-];c1ncn(c1)c1ccc(cc1)n1cncc1,UNKNOWN
AMUPOP_clean,[Zn],C(Cn1cncc1)CCn1cncc1;[O-]C(=O)c1cc(c(cc1c1ccc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-])c1ccc(cc1C(=O)[O-])C(=O)[O-],UNKNOWN
AMUWUB_clean,[Cu],[O-]C(=O)c1ccc(cc1)C=Cc1ccncc1;[O-]C(=O)c1nc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],ERROR
AMUXAI_clean,[Cu],[O-]C(=O)c1ccc(cc1)C=Cc1ccncc1;[O-]C(=O)c1nc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],ERROR
ANAWOD_clean,[In];[OH],[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-],rna
ANEHEI_clean,[Zn],Nc1ncnc2c1N=C[N]2;Nc1ncnc2c1N=[C][N]2;[O-]C(=O)C1CCC(CC1)C(=O)[O-],UNKNOWN
ANENEN_clean,[La],CO[C]([C](c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-];[C]O[C]([C](c1ccc(cc1)C(=O)[O-])O[C])c1ccc(cc1)C(=O)[O-],ERROR
ANENIR_clean,[La],COC(C(c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-],ERROR
ANEPIT_clean,[Co]O[Co],C(Cc1ccncc1)Cc1ccncc1;O=N(=O)c1cc(ccc1c1ccc(cc1N(=O)=O)C(=O)[O-])C(=O)[O-];O=N(=O)c1cc(ccc1c1ccc(cc1N([O])[O])C(=O)[O-])C(=O)[O-],ERROR
ANIDIL_clean,[Co][O]1[Co][O]([Co]21[O]([Co])[Co][O]2[Co])[Co],C(Cc1ccncc1)Cc1ccncc1;[O-]C(=O)C12[CH]C3(C(=O)[O-])C4[CH]C2C1[CH]C34;[O-]C(=O)c1cccc(c1)C(=O)[O-],ERROR
